movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
326,Побег из Шоушенка,9.12,142,376610.0,1994,9.3,1572615.0,"драма, криминал",США,$25 000 000,91.0,The Shawshank Redemption
435,Зеленая миля,9.072,189,359434.0,1999,8.5,711618.0,"фэнтези, драма, криминал, детектив",США,$60 000 000,80.0,The Green Mile
77044,Друзья (сериал 1994 – 2004),9.022,22,137463.0,1994,9.0,454018.0,"комедия, мелодрама",США,,,Friends
464963,Игра престолов (сериал 2011 – ...),8.991,55,160456.0,2011,9.5,935980.0,"фэнтези, драма, приключения",США,,,Game of Thrones
647823,Моцарт. Рок-опера (видео),8.983,121,3090.0,2009,8.4,83.0,мюзикл,Франция,€8 000 000,,Mozart L'Opéra Rock
448,Форрест Гамп,8.93,142,353910.0,1994,8.8,1191275.0,"драма, мелодрама",США,$55 000 000,72.0,Forrest Gump
502838,Шерлок (сериал 2010 – ...),8.919,90,164653.0,2010,9.3,473787.0,"триллер, драма, криминал, детектив","Великобритания, США",,,Sherlock
404900,Во все тяжкие (сериал 2008 – 2013),8.873,47,121968.0,2008,9.5,829840.0,"триллер, драма, криминал",США,,,Breaking Bad
89518,Гордость и предубеждение (мини-сериал),8.848,300,26571.0,1995,9.1,50449.0,"драма, мелодрама",Великобритания,,,Pride and Prejudice
535341,1+1,8.829,112,358235.0,2011,8.6,475933.0,"драма, комедия, биография",Франция,€9 500 000,75.0,Intouchables
329,Список Шиндлера,8.819,195,187138.0,1993,8.9,823247.0,"драма, биография, история",США,$22 000 000,96.0,Schindler's List
178710,Доктор Хаус (сериал 2004 – 2012),8.812,43,137717.0,2004,8.8,294705.0,"драма, детектив",США,,,"House, M.D."
591929,Гравити Фолз (сериал 2012 – 2016),8.797,22,16412.0,2012,8.9,19406.0,"мультфильм, фэнтези, комедия, детектив, приключения, семейный",США,,,Gravity Falls
2360,Король Лев,8.789,89,247686.0,1994,8.5,617210.0,"мультфильм, мюзикл, драма, приключения, семейный",США,$45 000 000,90.0,The Lion King
685246,Рик и Морти (сериал 2013 – ...),8.755,22,15201.0,2013,9.3,57684.0,"мультфильм, комедия, фантастика",США,,,Rick and Morty
681831,Настоящий детектив (сериал 2014 – ...),8.72,60,90624.0,2014,9.1,310137.0,"детектив, криминал, триллер, драма",США,,,True Detective
178720,Светлячок (сериал 2002 – 2003),8.699,42,28253.0,2002,9.1,181077.0,"фантастика, боевик, драма, приключения",США,,,Firefly
251568,Клиника (сериал 2001 – 2010),8.696,22,95506.0,2001,8.4,187704.0,"драма, комедия",США,,,Scrubs
389,Леон,8.695,133,292535.0,1994,8.6,696334.0,"триллер, драма, криминал",Франция,FRF 115 000 000,72.0,Léon
408758,Код Гиас: Восставший Лелуш R2 (сериал),8.675,22,9921.0,2008,8.9,8773.0,"аниме, мультфильм, фантастика, драма, приключения",Япония,,,Kôdo giasu: Hangyaku no rurûshu R2
447301,Начало,8.673,148,401542.0,2010,8.8,1413779.0,"фантастика, боевик, триллер, драма, детектив","США, Великобритания",$160 000 000,86.0,Inception
361,Бойцовский клуб,8.667,131,340527.0,1999,8.9,1290515.0,"триллер, драма, криминал","США, Германия",$63 000 000,80.0,Fight Club
220054,Крестный отец: Трилогия 1901-1980 (видео),8.664,583,38268.0,1992,9.2,13176.0,"триллер, драма, криминал",США,,,The Godfather Trilogy: 1901-1980
79848,Клан Сопрано (сериал 1999 – 2007),8.656,55,25191.0,1999,9.2,181943.0,"драма, криминал",США,,,The Sopranos
841914,По ту сторону изгороди (мини-сериал),8.65,11,8608.0,2014,9.2,6381.0,"мультфильм, мюзикл, ужасы, фэнтези, драма, комедия, детектив, приключения, семейный",США,,,Over the Garden Wall
32898,Достучаться до небес,8.648,87,284203.0,1997,8.0,19690.0,"драма, комедия, криминал",Германия,DEM 4 300 000,,Knockin' on Heaven's Door
775276,Зверополис,8.646,108,53352.0,2016,8.4,48136.0,"мультфильм, боевик, комедия, криминал, приключения, семейный",США,$150 000 000,,Zootopia
367456,Собор Парижской Богоматери (ТВ),8.637,150,6495.0,1999,8.8,1026.0,"мюзикл, драма, мелодрама, музыка",Франция,,,Notre-Dame de Paris
94249,Братья по оружию (сериал),8.634,60,17278.0,2001,9.6,214258.0,"боевик, драма, военный, история","Великобритания, США",$125 000 000,,Band of Brothers
406148,Тетрадь смерти (сериал 2006 – 2007),8.634,22,44467.0,2006,9.0,79751.0,"аниме, мультфильм, фэнтези, триллер, драма, криминал, детектив",Япония,,,Desu nôto
381,Жизнь прекрасна,8.631,116,119569.0,1997,8.6,380687.0,"драма, мелодрама, комедия",Италия,,80.0,La vita è bella
342,Криминальное чтиво,8.622,154,242901.0,1994,8.9,1271153.0,"триллер, комедия, криминал",США,$8 000 000,93.0,Pulp Fiction
3498,Властелин колец: Возвращение Короля,8.621,201,255009.0,2003,8.9,1121559.0,"фэнтези, приключения","США, Новая Зеландия",$94 000 000,95.0,The Lord of the Rings: The Return of the King
306084,Теория большого взрыва (сериал 2007 – ...),8.619,22,120634.0,2007,8.4,514415.0,комедия,США,,,The Big Bang Theory
258687,Интерстеллар,8.609,169,282092.0,2014,8.6,828508.0,"фантастика, драма, приключения","США, Великобритания",$165 000 000,72.0,Interstellar
474,Гладиатор,8.601,155,239469.0,2000,8.5,935872.0,"боевик, драма","США, Великобритания",$103 000 000,76.0,Gladiator
408596,Крутой учитель Онидзука (сериал 1999 – 2000),8.577,22,9480.0,1999,8.6,1911.0,"аниме, мультфильм, драма, мелодрама, комедия",Япония,,,GTO
530,Игры разума,8.576,135,260467.0,2001,8.2,546163.0,"драма, биография",США,$58 000 000,75.0,A Beautiful Mind
401522,Как я встретил вашу маму (сериал 2005 – 2014),8.576,22,82144.0,2005,8.4,436760.0,"комедия, мелодрама, драма",США,,,How I Met Your Mother
571335,Бесстыдники (сериал 2011 – ...),8.573,55,23054.0,2011,8.7,90820.0,"драма, комедия",США,,,Shameless
328,Властелин колец: Братство кольца,8.568,178,250760.0,2001,8.8,1147997.0,"фэнтези, приключения","США, Новая Зеландия",$93 000 000,91.0,The Lord of the Rings: The Fellowship of the Ring
312,Властелин колец: Две крепости,8.56,179,237985.0,2002,8.7,1011816.0,"фэнтези, приключения","США, Новая Зеландия",$94 000 000,96.0,The Lord of the Rings: The Two Towers
942544,Ванпанчмен (сериал 2015 – ...),8.56,22,3419.0,2015,9.3,24794.0,"аниме, мультфильм, фантастика, боевик, комедия",Япония,,,One Punch Man: Wanpanman
