movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,genres,countries,description,poster,path
326,Побег из Шоушенка,9.12,142,376610,1994,"драма, криминал",США,"Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. Каждый, кто попадает в эти стены, становится их рабом до конца жизни. Но Энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения.",https://kinopoiskapiunofficial.tech/images/posters/kp/326.jpg,./static/clips/326.mp4
435,Зеленая миля,9.072,189,359434,1999,"фэнтези, драма, криминал, детектив",США,"Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора», каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи, обвинённый в страшном преступлении, стал одним из самых необычных обитателей блока.",https://kinopoiskapiunofficial.tech/images/posters/kp/435.jpg,./static/clips/435.mp4
77044,Друзья (сериал 1994 – 2004),9.022,22,137463,1994,"комедия, мелодрама",США,"Шестеро друзей – Рейчел, Моника, Фиби, Джоуи, Чендлер и Росс – живут по соседству, вместе убивают время, делятся секретами и иногда очень сильно влюбляются.",https://kinopoiskapiunofficial.tech/images/posters/kp/77044.jpg,./static/clips/77044.mp4
464963,Игра престолов (сериал 2011 – ...),8.991,55,160456,2011,"фэнтези, драма, приключения",США,"К концу подходит время благоденствия, и лето, длившееся почти десятилетие, угасает. Вокруг средоточия власти Семи королевств, Железного трона, зреет заговор, и в это непростое время король решает искать поддержки у друга юности Эддарда Старка. В мире, где все — от короля до наемника — рвутся к власти, плетут интриги и готовы вонзить нож в спину, есть место и благородству, состраданию и любви. Между тем никто не замечает пробуждение тьмы из легенд далеко на Севере — и лишь Стена защищает живых к югу от нее.",https://kinopoiskapiunofficial.tech/images/posters/kp/464963.jpg,./static/clips/464963.mp4
647823,Моцарт. Рок-опера (видео),8.983,121,3090,2009,мюзикл,Франция,"Судьба Моцарта преподносит ему испытание: Коллоредо сменяет принца-архиепископа Зальцбурга. Новый правитель - строгий и авторитарный человек, не воспринимающий музыку молодого композитора и не терпящий его пыл и дерзость. Жизнь в Зальцбурге становится для двадцатилетнего юноши невыносимой. Он решает оставить свой родной город и уехать с матерью на поиски лучшего будущего в европейских столицах.",https://kinopoiskapiunofficial.tech/images/posters/kp/647823.jpg,./static/clips/647823.mp4
448,Форрест Гамп,8.93,142,353910,1994,"драма, мелодрама",США,"Сидя на автобусной остановке, Форрест Гамп — не очень умный, но добрый и открытый парень — рассказывает случайным встречным историю своей необыкновенной жизни.

С самого малолетства парень страдал от заболевания ног, соседские мальчишки дразнили его, но в один прекрасный день Форрест открыл в себе невероятные способности к бегу. Подруга детства Дженни всегда его поддерживала и защищала, но вскоре дороги их разошлись.",https://kinopoiskapiunofficial.tech/images/posters/kp/448.jpg,./static/clips/448.mp4
502838,Шерлок (сериал 2010 – ...),8.919,90,164653,2010,"триллер, драма, криминал, детектив","Великобритания, США","События разворачиваются в наши дни. Он прошел Афганистан, остался инвалидом. По возвращении в родные края встречается с загадочным, но своеобразным гениальным человеком. Тот в поиске соседа по квартире. Лондон, 2010 год. Происходят необъяснимые убийства. Скотланд-Ярд без понятия, за что хвататься. Существует лишь один человек, который в силах разрешить проблемы и найти ответы на сложные вопросы.",https://kinopoiskapiunofficial.tech/images/posters/kp/502838.jpg,./static/clips/502838.mp4
404900,Во все тяжкие (сериал 2008 – 2013),8.873,47,121968,2008,"триллер, драма, криминал",США,"Школьный учитель химии Уолтер Уайт узнаёт, что болен раком лёгких. Учитывая сложное финансовое состояние дел семьи, а также перспективы, Уолтер решает заняться изготовлением метамфетамина. Для этого он привлекает своего бывшего ученика Джесси Пинкмана, когда-то исключённого из школы при активном содействии Уайта. Пинкман сам занимался варкой мета, но накануне, в ходе рейда УБН, он лишился подельника и лаборатории.",https://kinopoiskapiunofficial.tech/images/posters/kp/404900.jpg,./static/clips/404900.mp4
89518,Гордость и предубеждение (мини-сериал),8.848,300,26571,1995,"драма, мелодрама",Великобритания,"Элизабет - одна из пяти дочерей небогатого провинциального помещика, мистера Беннета. К сожалению, в семействе нет ни одного сына, поэтому, в случае смерти мистера Беннета, все их имущество перейдет их дальнему родственнику по мужской линии. Когда по соседству появляется богатый мистер Бингли и его друг,  загадочный и еще более богатый мистер Дарси, миссис Беннет начинает питать большие надежды на скорое замужество одной из своих дочерей. Мистер Бингли обращает внимание на старшую сестру Беннет, красавицу Джейн. Но гордый мистер Дарси не одобряет увлечения друга и стремится положить ему конец, однако сам неожиданно увлекается Элизабет...",https://kinopoiskapiunofficial.tech/images/posters/kp/89518.jpg,./static/clips/89518.mp4
535341,1+1,8.829,112,358235,2011,"драма, комедия, биография",Франция,"Пострадав в результате несчастного случая, богатый аристократ Филипп нанимает в помощники человека, который менее всего подходит для этой работы, – молодого жителя предместья Дрисса, только что освободившегося из тюрьмы. Несмотря на то, что Филипп прикован к инвалидному креслу, Дриссу удается привнести в размеренную жизнь аристократа дух приключений.",https://kinopoiskapiunofficial.tech/images/posters/kp/535341.jpg,./static/clips/535341.mp4
