movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
10133,Король Ральф,6.667,97,3636.0,1991,5.1,12037.0,"мелодрама, комедия",США,,20.0,King Ralph
101711,16 кварталов,7.223,105,20751.0,2006,6.6,109367.0,"боевик, триллер, драма, криминал","Германия, США",$52 000 000,55.0,16 Blocks
102122,Линкольн,6.923,150,22969.0,2012,7.4,184772.0,"драма, военный, биография, история","США, Индия",$65 000 000,90.0,Lincoln
102124,Пираты Карибского моря: На краю Света,8.039,169,184101.0,2007,7.1,439776.0,"фэнтези, боевик, приключения",США,$300 000 000,45.0,Pirates of the Caribbean: At World's End
102125,Вавилон,7.564,143,46429.0,2006,7.5,232753.0,драма,"Франция, США, Мексика",$25 000 000,69.0,Babel
102127,Как трусливый Роберт Форд убил Джесси Джеймса,7.157,160,19114.0,2007,7.6,128470.0,"драма, криминал, вестерн, биография, история","США, Канада, Великобритания",$30 000 000,76.0,The Assassination of Jesse James by the Coward Robert Ford
102128,Жена путешественника во времени,7.663,107,64006.0,2008,7.1,111925.0,"фантастика, фэнтези, драма, мелодрама",США,$39 000 000,38.0,The Time Traveler's Wife
102130,Дом у озера,7.822,99,80502.0,2006,6.8,107656.0,"фэнтези, драма, мелодрама","США, Австралия",$40 000 000,35.0,The Lake House
102136,Смертельная гонка,7.131,111,58898.0,2008,6.4,158238.0,"фантастика, боевик, триллер","США, Германия, Великобритания",$45 000 000,43.0,Death Race
102138,Одинокие сердца,7.026,108,7804.0,2005,6.5,16834.0,"триллер, драма, мелодрама, криминал","Германия, США",$18 000 000,48.0,Lonely Hearts
102141,Вторжение,6.852,120,3569.0,2006,6.6,19421.0,"драма, мелодрама","Великобритания, США",,33.0,Breaking and Entering
102142,5 неизвестных,6.657,85,8793.0,2005,6.5,24944.0,"триллер, драма, криминал, детектив",США,$3 700 000,,Unknown
102146,Кот в сапогах,7.146,90,70714.0,2011,6.7,109448.0,"мультфильм, фэнтези, комедия, приключения, семейный",США,$130 000 000,84.0,Puss in Boots
102147,Держи ритм,7.703,118,14771.0,2006,6.7,21178.0,"драма, музыка",США,$30 000 000,44.0,Take the Lead
102148,Плетеный человек,5.509,102,17579.0,2006,3.6,50505.0,"ужасы, триллер, детектив","США, Германия, Канада",$40 000 000,15.0,The Wicker Man
102151,Хэнкок,7.483,88,131834.0,2008,6.4,326842.0,"фантастика, боевик, драма, комедия",США,$150 000 000,41.0,Hancock
102152,Джейн Остин,7.888,120,41401.0,2006,7.1,41831.0,"драма, мелодрама, биография","Великобритания, Ирландия",$16 500 000,57.0,Becoming Jane
102160,Развод по-американски,6.556,106,22356.0,2006,5.8,96823.0,"драма, мелодрама, комедия",США,$52 000 000,33.0,The Break-Up
102161,Бесстрашный,7.874,104,11470.0,2006,7.7,58890.0,"боевик, драма, биография, спорт","Китай, Гонконг",,73.0,Huo Yuanjia
102169,Преодоление,7.592,105,6889.0,2006,7.1,47047.0,"драма, биография, спорт",США,,71.0,Invincible
102181,Шайтан,5.284,94,4178.0,2006,5.6,6506.0,"ужасы, триллер, комедия",Франция,€2 700 000,53.0,Sheitan
102185,Возвращение,7.742,116,16729.0,2006,7.6,73588.0,"драма, комедия, криминал, детектив",Испания,,92.0,Volver
102186,Снежный пирог,7.476,112,5192.0,2006,7.6,10506.0,"драма, мелодрама","Канада, Великобритания",$12 000 000,66.0,Snow Cake
102198,Иллюзионист,8.043,110,174780.0,2005,7.6,284917.0,"триллер, драма, мелодрама, детектив","США, Чехия",$16 500 000,74.0,The Illusionist
102199,Лондон,6.987,92,10535.0,2005,6.6,18481.0,"драма, мелодрама","Великобритания, США",$2 000 000,14.0,London
102200,Лезвия славы: Звездуны на льду,6.241,93,6757.0,2007,6.3,120660.0,"комедия, спорт",США,$61 000 000,69.0,Blades of Glory
102201,Разрисованная вуаль,7.939,125,49556.0,2006,7.5,75432.0,"драма, мелодрама","Китай, США, Канада",$34 000 000,74.0,The Painted Veil
102203,Любовь и другие катастрофы,6.961,90,12785.0,2005,6.3,11034.0,"мелодрама, комедия","Франция, Великобритания",,20.0,Love and Other Disasters
102204,Секрет,7.056,93,4166.0,2006,6.4,3014.0,"драма, мелодрама","Франция, Канада",,,Si j'étais toi
102206,Уроки вождения,7.216,98,5505.0,2006,6.8,9295.0,"драма, комедия",Великобритания,,48.0,Driving Lessons
102209,Оптом дешевле 2,6.887,94,10413.0,2005,5.4,40646.0,"комедия, приключения, семейный","США, Канада",$60 000 000,6.0,Cheaper by the Dozen 2
102210,Минотавр,3.013,93,3303.0,2006,3.5,3513.0,"ужасы, фэнтези, приключения","Великобритания, Люксембург, Германия, Франция, Испания, Италия, США",$7 000 000,,Minotaur
102215,Дурдом на колесах,6.148,99,4266.0,2006,5.5,43579.0,"комедия, приключения, семейный","Великобритания, Германия, США",$50 000 000,23.0,RV
102229,Жатва,6.603,99,13748.0,2007,5.7,36086.0,"ужасы, триллер",США,$50 000 000,8.0,The Reaping
